observation_date,NVHOWN
1984-01-01,58.9
1985-01-01,57.0
1986-01-01,54.5
1987-01-01,54.1
1988-01-01,54.3
1989-01-01,54.3
1990-01-01,55.8
1991-01-01,55.8
1992-01-01,55.1
1993-01-01,55.8
1994-01-01,55.8
1995-01-01,58.6
1996-01-01,61.1
1997-01-01,61.2
1998-01-01,61.4
1999-01-01,63.7
2000-01-01,64.0
2001-01-01,64.6
2002-01-01,65.3
2003-01-01,64.8
2004-01-01,65.7
2005-01-01,63.4
2006-01-01,65.7
2007-01-01,63.3
2008-01-01,63.6
2009-01-01,62.4
2010-01-01,59.7
2011-01-01,56.2
2012-01-01,55.7
2013-01-01,56.0
2014-01-01,56.0
2015-01-01,54.8
2016-01-01,54.5
2017-01-01,55.0
2018-01-01,57.8
2019-01-01,58.2
2020-01-01,61.2
2021-01-01,60.5
2022-01-01,60.3
2023-01-01,61.2
2024-01-01,61.5
